,shapiq,pointbiserialr_r_pb,function,type,dataset,mehtod,ascending
0,0.0707279288499214,-0.4248249735702688,ScaleFeature,forest,Dataset 1:worm_neuron_cell,Graphsc,
1,0.06107951135290328,-0.395547607343132,FilterGenesTopK,forest,Dataset 1:worm_neuron_cell,Graphsc,
2,0.04701315390120592,-0.18311294341060802,ScTransform,forest,Dataset 1:worm_neuron_cell,Graphsc,
3,0.04441453739097759,-0.10596811579881396,NormalizePlaceHolder,forest,Dataset 1:worm_neuron_cell,Graphsc,
4,0.027267435596379307,0.17728719953862682,ScTransformxHighlyVariableGenesRawCount,forest,Dataset 1:worm_neuron_cell,Graphsc,
5,0.0234140862027856,-0.16424220428404554,ScaleFeaturexFilterGenesTopK,forest,Dataset 1:worm_neuron_cell,Graphsc,
6,0.021826201821336343,-0.14491102017404614,HighlyVariableGenesLogarithmizedByTopGenes,forest,Dataset 1:worm_neuron_cell,Graphsc,
7,0.020509069673586698,0.27301476553218385,FilterGenesRegression,forest,Dataset 1:worm_neuron_cell,Graphsc,
8,0.02016397672726526,,NormalizePlaceHolderxScTransform,forest,Dataset 1:worm_neuron_cell,Graphsc,
9,0.019213911064062728,0.2355601859461549,NormalizeTotal,forest,Dataset 1:worm_neuron_cell,Graphsc,
10,0.017149055833779348,,ScTransformxScaleFeature,forest,Dataset 1:worm_neuron_cell,Graphsc,
11,0.01613509026630027,,NormalizePlaceHolderxScaleFeature,forest,Dataset 1:worm_neuron_cell,Graphsc,
12,0.015986829525030097,0.21083678164588712,NormalizePlaceHolderxFilterGenesRegression,forest,Dataset 1:worm_neuron_cell,Graphsc,
13,0.015704907012704054,-0.16424220428404557,ScTransformxFilterGenesTopK,forest,Dataset 1:worm_neuron_cell,Graphsc,
14,0.01520814467246434,-0.16424220428404554,NormalizePlaceHolderxFilterGenesTopK,forest,Dataset 1:worm_neuron_cell,Graphsc,
15,0.011610880181426208,,NormalizePlaceHolderxNormalizeTotal,forest,Dataset 1:worm_neuron_cell,Graphsc,
16,0.01083315738362968,-0.06940890130315508,HighlyVariableGenesLogarithmizedByMeanAndDisp,forest,Dataset 1:worm_neuron_cell,Graphsc,
17,0.010278921294614524,,ScTransformxScaleFeaturexHighlyVariableGenesRawCount,forest,Dataset 1:worm_neuron_cell,Graphsc,
18,0.009737589431999137,,NormalizeTotalxScTransform,forest,Dataset 1:worm_neuron_cell,Graphsc,
19,0.009180175549750685,-0.0623465441747331,FilterCellsScanpyOrderxScTransform,forest,Dataset 1:worm_neuron_cell,Graphsc,
20,0.008404075949340832,,ScTransformxFilterGenesTopKxHighlyVariableGenesRawCount,forest,Dataset 1:worm_neuron_cell,Graphsc,
21,0.008039521504651323,-0.16424220428404554,NormalizePlaceHolderxHighlyVariableGenesLogarithmizedByMeanAndDisp,forest,Dataset 1:worm_neuron_cell,Graphsc,
22,0.007940868048478855,-0.16424220428404554,ScaleFeaturexHighlyVariableGenesLogarithmizedByTopGenes,forest,Dataset 1:worm_neuron_cell,Graphsc,
23,0.007876046759293749,,NormalizeTotalxScaleFeature,forest,Dataset 1:worm_neuron_cell,Graphsc,
24,0.007785489424802769,,NormalizePlaceHolderxScTransformxFilterGenesTopK,forest,Dataset 1:worm_neuron_cell,Graphsc,
25,0.007749682548959322,,NormalizePlaceHolderxScTransformxScaleFeature,forest,Dataset 1:worm_neuron_cell,Graphsc,
26,0.007588365053731689,,ScTransformxScaleFeaturexFilterGenesTopK,forest,Dataset 1:worm_neuron_cell,Graphsc,
27,0.007387618659380805,0.05048650632841133,FilterCellsScanpyOrder,forest,Dataset 1:worm_neuron_cell,Graphsc,
28,0.006763584570890763,,FilterGenesTopKxHighlyVariableGenesLogarithmizedByTopGenes,forest,Dataset 1:worm_neuron_cell,Graphsc,
29,0.00676301686637056,-0.16424220428404554,NormalizeTotalxFilterGenesTopK,forest,Dataset 1:worm_neuron_cell,Graphsc,
